step,loss_function,target_value,elapsed_time
7660,2.88838e-02,-7.84639e-01,397
7680,3.03992e-02,-7.84389e-01,398
7700,1.50857e-02,-7.80227e-01,399
7720,1.56556e-02,-7.85104e-01,400
7740,1.68491e-02,-7.88774e-01,401
7760,1.64316e-02,-7.87578e-01,402
7780,2.15342e-02,-7.87994e-01,403
7800,3.41952e-02,-7.86119e-01,404
7820,3.34328e-02,-7.86688e-01,405
7840,3.81463e-02,-7.89963e-01,406
7860,2.31954e-02,-7.84958e-01,407
7880,1.98334e-02,-7.86900e-01,408
7900,1.93176e-02,-7.89593e-01,410
7920,1.45204e-02,-7.86201e-01,411
7940,3.60111e-02,-7.80420e-01,412
7960,1.91280e-02,-7.76309e-01,413
7980,2.23021e-02,-7.81468e-01,414
8000,1.88893e-02,-7.82035e-01,415
